Model,K,mP,mR,mAP
mobilenet_v3,5,0.2909090909090909,0.31380471380471375,0.4991863075196408
mobilenet_v3,10,0.19797979797979795,0.4188552188552188,0.4825170354337021
mobilenet_v3,20,0.12272727272727273,0.5151515151515151,0.45762526108720253
efficientnet_b0,5,0.31313131313131315,0.33164983164983175,0.5557659932659933
efficientnet_b0,10,0.197979797979798,0.4188552188552189,0.527478354978355
efficientnet_b0,20,0.1303030303030303,0.5468013468013468,0.4824683495820563
clip_vit_b16,5,0.33939393939393936,0.35622895622895623,0.5591189674523008
clip_vit_b16,10,0.24343434343434345,0.5080808080808081,0.5221877505210839
clip_vit_b16,20,0.152020202020202,0.6319865319865319,0.4959275306103104
dino_vit_s16,5,0.3353535353535354,0.35824915824915826,0.5798540965207633
dino_vit_s16,10,0.2181818181818182,0.45925925925925926,0.5528433140933141
dino_vit_s16,20,0.13989898989898988,0.5838383838383838,0.5052256831637911
